,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
222,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/11 12:00,2020/5/16 23:00,0,0,0
224,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/11 14:00,2020/5/16 23:00,3,1521,1
226,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/11 16:00,2020/5/16 23:00,2,1521,1
227,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/11 18:00,2020/5/16 23:00,0,0,0
243,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/12 08:00,2020/5/16 23:00,1,1521,1
244,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/12 10:00,2020/5/16 23:00,0,0,0
245,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/12 12:00,2020/5/16 23:00,0,0,0
246,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/12 14:00,2020/5/16 23:00,0,0,0
247,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/12 16:00,2020/5/16 23:00,0,0,0
248,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/12 18:00,2020/5/16 23:00,0,0,0
257,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/13 10:00,2020/5/16 23:00,3,1307,1
259,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/13 12:00,2020/5/16 23:00,13,1307,1
261,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/13 14:00,2020/5/16 23:00,12,1307,1
262,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/13 08:00,2020/5/16 23:00,2,1307,1
263,IC10-R3N-092 S,TSN,新港,NSH,南沙,2020/5/9 14:00,2020/5/16 23:00,1,1521,1
267,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/2 08:00,2020/5/10 23:00,0,0,0
269,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/2 10:00,2020/5/10 23:00,4,1521,1
270,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/2 12:00,2020/5/10 23:00,0,0,0
271,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/2 14:00,2020/5/10 23:00,0,0,0
272,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/2 16:00,2020/5/10 23:00,0,0,0
273,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/2 18:00,2020/5/10 23:00,0,0,0
280,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/3 08:00,2020/5/10 23:00,0,0,0
281,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/3 10:00,2020/5/10 23:00,0,0,0
282,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/3 12:00,2020/5/10 23:00,0,0,0
283,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/3 14:00,2020/5/10 23:00,0,0,0
284,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/3 16:00,2020/5/10 23:00,0,0,0
285,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/3 18:00,2020/5/10 23:00,0,0,0
292,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/4 08:00,2020/5/10 23:00,0,0,0
