,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
4258,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/17 12:00,2019/12/26 21:00,0,0,0
4260,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/17 14:00,2019/12/26 21:00,36,4276,1
4261,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/17 16:00,2019/12/26 21:00,0,0,0
4262,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/17 18:00,2019/12/26 21:00,0,0,0
4269,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/18 8:00,2019/12/26 21:00,0,0,0
4271,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/18 10:00,2019/12/26 21:00,22,4076,1
4273,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/18 12:00,2019/12/26 21:00,2,4076,1
4275,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/18 14:00,2019/12/26 21:00,4,4076,1
4277,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/18 16:00,2019/12/26 21:00,10,4076,1
4278,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/18 18:00,2019/12/26 21:00,0,0,0
4292,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/19 8:00,2019/12/26 21:00,2,4076,1
4293,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/19 10:00,2019/12/26 21:00,0,0,0
4294,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/19 12:00,2019/12/26 21:00,0,0,0
4295,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/19 14:00,2019/12/26 21:00,0,0,0
4296,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/19 16:00,2019/12/26 21:00,0,0,0
4297,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/19 18:00,2019/12/26 21:00,0,0,0
4311,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/20 8:00,2019/12/26 21:00,56,3956,1
4312,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/20 10:00,2019/12/26 21:00,0,0,0
4313,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/20 12:00,2019/12/26 21:00,0,0,0
4314,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/20 14:00,2019/12/26 21:00,0,0,0
4315,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/20 16:00,2019/12/26 21:00,0,0,0
4316,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/20 18:00,2019/12/26 21:00,0,0,0
4328,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/21 8:00,2019/12/26 21:00,13,3956,1
4329,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/21 10:00,2019/12/26 21:00,0,0,0
4330,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/21 12:00,2019/12/26 21:00,0,0,0
4331,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/21 14:00,2019/12/26 21:00,0,0,0
4332,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/21 16:00,2019/12/26 21:00,0,0,0
4333,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/21 18:00,2019/12/26 21:00,0,0,0
4345,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/22 8:00,2019/12/26 21:00,12,3956,1
4634,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/22 8:00,2020/1/2 20:00,0,0,0
4346,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/22 10:00,2019/12/26 21:00,0,0,0
4635,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/22 10:00,2020/1/2 20:00,0,0,0
4347,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/22 12:00,2019/12/26 21:00,0,0,0
4637,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/22 12:00,2020/1/2 20:00,2,3956,1
4348,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/22 14:00,2019/12/26 21:00,0,0,0
4638,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/22 14:00,2020/1/2 20:00,0,0,0
4349,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/22 16:00,2019/12/26 21:00,0,0,0
4639,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/22 16:00,2020/1/2 20:00,0,0,0
4350,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/22 18:00,2019/12/26 21:00,0,0,0
4640,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/22 18:00,2020/1/2 20:00,0,0,0
4357,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/23 8:00,2019/12/26 21:00,0,0,0
4647,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/23 8:00,2020/1/2 20:00,0,0,0
4359,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/23 10:00,2019/12/26 21:00,14,3956,1
4648,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/23 10:00,2020/1/2 20:00,0,0,0
4360,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/23 12:00,2019/12/26 21:00,0,0,0
4650,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/23 12:00,2020/1/2 20:00,4,3726,1
4362,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/23 14:00,2019/12/26 21:00,6,3956,1
4652,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/23 14:00,2020/1/2 20:00,10,3726,1
4364,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/23 16:00,2019/12/26 21:00,12,3956,1
4653,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/23 16:00,2020/1/2 20:00,0,0,0
4365,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/23 18:00,2019/12/26 21:00,0,0,0
4654,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/23 18:00,2020/1/2 20:00,0,0,0
4372,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/24 8:00,2019/12/26 21:00,0,0,0
4661,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/24 8:00,2020/1/2 20:00,0,0,0
4373,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/24 10:00,2019/12/26 21:00,0,0,0
4662,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/24 10:00,2020/1/2 20:00,0,0,0
4374,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/24 12:00,2019/12/26 21:00,0,0,0
4663,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/24 12:00,2020/1/2 20:00,0,0,0
4375,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/24 14:00,2019/12/26 21:00,0,0,0
4664,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/24 14:00,2020/1/2 20:00,0,0,0
4376,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/24 16:00,2019/12/26 21:00,0,0,0
4665,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/24 16:00,2020/1/2 20:00,0,0,0
